Model,Accuracy,Precision,Recall,F1-Score
Logistic Regression,0.7956636005256241,0.8237476808905381,0.6727272727272727,0.7406171809841535
SVM,0.7582128777923784,0.7332268370607029,0.6954545454545454,0.7138413685847588
