mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_svm__C,param_tfidf__max_features,param_tfidf__ngram_range,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.08495306968688965,0.007956110672639653,0.018373727798461914,0.0008398287189688974,0.1,1000,"(1, 1)","{'svm__C': 0.1, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.725609756097561,0.722635494155154,0.7492063492063491,0.730728616684266,0.7407407407407407,0.7337841913768142,0.0098659810434495,5
0.18933348655700682,0.00424786728384353,0.024764108657836913,0.0019925319804528063,0.1,1000,"(1, 2)","{'svm__C': 0.1, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.7302231237322515,0.7161016949152542,0.7428571428571429,0.730728616684266,0.7364016736401675,0.7312624503658165,0.008855079829279924,6
0.0883967399597168,0.0023593606123992928,0.01910738945007324,0.00046512849314806474,0.1,3000,"(1, 1)","{'svm__C': 0.1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.7317574511819115,0.7190527448869751,0.7659574468085107,0.733984799131379,0.7443850267379679,0.7390274937493488,0.01569202607409354,4
0.20695242881774903,0.010376599315491931,0.026598691940307617,0.0013437075085560325,0.1,3000,"(1, 2)","{'svm__C': 0.1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",0.7349027635619242,0.7185501066098081,0.7611940298507462,0.7448869752421959,0.7457264957264957,0.7410520741982342,0.014045694192890782,2
0.09206690788269042,0.011330928696915625,0.021460914611816408,0.003471005590453682,0.1,5000,"(1, 1)","{'svm__C': 0.1, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1)}",0.737603305785124,0.7209554831704669,0.7637540453074433,0.7336244541484717,0.7467811158798283,0.7405436808582668,0.014267765108806847,3
0.19680099487304686,0.00861646326245164,0.025257396697998046,0.0014501953675013389,0.1,5000,"(1, 2)","{'svm__C': 0.1, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}",0.7238883143743537,0.7288317256162914,0.7662753468516542,0.7456896551724137,0.7454350161117078,0.7420240116252842,0.014940810415792465,1
0.10497851371765136,0.011990671154541223,0.01935415267944336,0.0014403322504995203,1,1000,"(1, 1)","{'svm__C': 1, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.7299412915851272,0.7224489795918368,0.7403651115618662,0.7324516785350967,0.7218813905930472,0.7294176903733949,0.006851043970203919,9
0.21609439849853515,0.02406695767623173,0.02619142532348633,0.0014269836508380377,1,1000,"(1, 2)","{'svm__C': 1, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.7202380952380953,0.718052738336714,0.7432712215320911,0.7289340101522843,0.7371663244353182,0.7295324779389005,0.009649423015548202,8
0.10545334815979004,0.028727527244020366,0.023561429977416993,0.006132066322604255,1,3000,"(1, 1)","{'svm__C': 1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.7164750957854407,0.7157057654075547,0.7544554455445545,0.7303482587064678,0.7183098591549295,0.7270588849197895,0.014689090379656183,11
0.19912633895874024,0.007726145382910519,0.026688051223754884,0.0023172222612703984,1,3000,"(1, 2)","{'svm__C': 1, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",0.7144240077444335,0.7127344521224088,0.755952380952381,0.7254509018036072,0.7210473313192347,0.725921814788413,0.015696645203127444,12
0.09596610069274902,0.002821143499071494,0.018497800827026366,0.0006766699759422541,1,5000,"(1, 1)","{'svm__C': 1, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1)}",0.7349282296650718,0.7121661721068249,0.7549800796812749,0.7225025227043391,0.7237512742099897,0.7296656556735,0.014567340560255354,7
0.2017274856567383,0.011107929689478501,0.02715311050415039,0.0026171876915813868,1,5000,"(1, 2)","{'svm__C': 1, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}",0.7173076923076924,0.7083333333333334,0.7609561752988048,0.7276341948310141,0.7241379310344827,0.7276738653610655,0.01789821378234605,10
0.14653382301330567,0.009156494847173633,0.017440032958984376,0.000552219869369542,10,1000,"(1, 1)","{'svm__C': 10, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 1)}",0.7283349561830574,0.7110228401191658,0.7323383084577114,0.7341269841269841,0.7030303030303031,0.7217706783834444,0.012443155032198165,13
0.2682521820068359,0.01756517196663342,0.022136354446411134,0.004041606605287365,10,1000,"(1, 2)","{'svm__C': 10, 'tfidf__max_features': 1000, 'tfidf__ngram_range': (1, 2)}",0.7201565557729942,0.7107107107107107,0.729145211122554,0.7321428571428572,0.7152988855116514,0.7214908440521535,0.008104155338731368,14
0.1615574836730957,0.0185020329433504,0.018116044998168945,0.0013875125863136992,10,3000,"(1, 1)","{'svm__C': 10, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 1)}",0.692378328741965,0.6836158192090396,0.7169082125603864,0.6749760306807286,0.6937198067632849,0.6923196395910809,0.014022261532802035,17
0.23860716819763184,0.018232118866248478,0.01489272117614746,0.003355221896487558,10,3000,"(1, 2)","{'svm__C': 10, 'tfidf__max_features': 3000, 'tfidf__ngram_range': (1, 2)}",0.6950998185117967,0.68,0.7302823758519962,0.6944713870029099,0.7013487475915222,0.700240465791645,0.01657184134977983,15
0.17151212692260742,0.016923050892899822,0.01626896858215332,0.0027845388626805074,10,5000,"(1, 1)","{'svm__C': 10, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 1)}",0.7086031452358927,0.675,0.7223300970873787,0.6881516587677725,0.6770428015564203,0.6942255405294929,0.018430092692833504,16
0.18886156082153321,0.015960855527204623,0.012904930114746093,0.0004105977847628563,10,5000,"(1, 2)","{'svm__C': 10, 'tfidf__max_features': 5000, 'tfidf__ngram_range': (1, 2)}",0.6778087279480037,0.6723809523809524,0.7188405797101448,0.7002854424357754,0.6852207293666027,0.6909072863682958,0.016824701497391827,18
