Model,Accuracy,Precision,Recall,F1
Logistic Regression,0.7956636005256241,0.7991205422592504,0.7956636005256241,0.7920535101383516
SVM,0.7582128777923784,0.7572647467824712,0.7582128777923784,0.7573547257371684
Naive Bayes,0.7871222076215506,0.7908286824256116,0.7871222076215506,0.7830489954810088
Random Forest,0.7825229960578186,0.7829412670099216,0.7825229960578186,0.7800742209056472
Tuned SVM,0.7963206307490145,0.799910974162133,0.7963206307490145,0.79268011119957
Tuned Random Forest,0.783180026281209,0.7825372848814758,0.783180026281209,0.7818484454020911
